Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2012-05-18,38.0506706237793,44.788914427748004,37.82174996120943,41.85275150034609,573576400
2012-05-21,33.870365142822266,36.48802895999729,32.845198054874245,36.35863772273698,168192700
2012-05-22,30.854581832885742,33.432432531440895,30.79486381895514,32.45703007750149,101786600
2012-05-23,31.849891662597656,32.347546219825745,31.212894436834176,31.222847755786916,73600000
2012-05-24,32.875057220458984,33.05421315600395,31.620969468447022,32.79543446955165,50237200
2012-05-25,31.760313034057617,32.79543540293265,30.964066518308705,32.745670707598876,37149800
2012-05-29,28.704713821411133,31.541345059558342,28.515604565960945,31.33232916702889,78063400
2012-05-30,28.057764053344727,29.411383138084013,27.72931212636516,28.5653719220225,57267900
2012-05-31,29.461149215698242,29.53082054771487,26.704142602116708,28.416073540244593,111639200
2012-06-01,27.589967727661133,29.013260052612164,27.261515798703314,28.754479457311845,41855500
2012-06-04,26.773813247680664,27.520295040265076,26.315971992794882,27.07240710375525,35230300
2012-06-05,25.748647689819336,27.62978131329522,25.6292097604932,26.574754180920536,42473400
2012-06-06,26.684236526489258,27.042548411146505,25.400288770469885,25.94770801789494,61489200
2012-06-07,26.186582565307617,27.221704967256205,26.027333257069603,26.87334639358499,26159500
2012-06-08,26.972877502441406,27.629781369057195,26.315973635825614,26.425456347993922,38034000
2012-06-11,26.883298873901367,27.93832598266214,26.71409625187735,27.052501495925387,28219600
2012-06-12,27.27147102355957,27.63973625371754,26.833534454874805,27.351095681647568,15816800
2012-06-13,27.142078399658203,27.9681848398041,26.972875784283676,27.53024832382273,17102800
2012-06-14,28.157297134399414,28.187155194314418,27.251564049478958,27.520297979123438,16855000
2012-06-15,29.869226455688477,29.958804426971096,28.21701349398907,28.376262798846742,43563800
2012-06-18,31.262657165527344,31.929516204578466,29.272039061904326,29.819458281040113,42978900
2012-06-19,31.760313034057617,32.02904694502342,30.55598994168721,31.392049732424287,30849000
2012-06-20,31.45176887512207,31.780220811954866,31.003879007440304,31.770267492850657,15553600
2012-06-21,31.690641403198242,32.347545247113665,31.36218948124053,31.52143878289267,21875300
2012-06-22,32.89496612548828,33.29309129788391,31.909612208853794,32.2579688870977,74834000
2012-06-25,31.909610748291016,32.86510656214205,31.402000986880683,32.70585725983355,24352900
2012-06-26,32.944725036621094,33.283130234680996,32.34754117971651,32.536648515149075,24858700
2012-06-27,32.078819274902344,32.74567850085209,31.75036727168635,32.30773996536158,28568000
2012-06-28,31.212894439697266,32.038999030434134,30.75505125983666,31.810078389704568,17713300
2012-06-29,30.95411491394043,31.83993944907224,30.61570965140437,31.770268112385676,19526900
2012-07-02,30.62566375732422,31.58115965368455,30.40669452394045,31.103411705504385,14122000
2012-07-03,31.05364418029785,31.292518132650738,30.655519027974954,30.765003634703895,8763600
2012-07-05,31.322378158569336,31.481627470145547,30.874490181661827,31.173082166266834,10032100
2012-07-06,31.581157684326172,31.75036030938893,31.113363084870997,31.292519028867037,10945600
2012-07-09,32.01908493041992,32.72575712262762,31.83993092621079,31.949413612382866,17785200
2012-07-10,31.322378158569336,32.32764062439512,31.013832854690623,32.27787592642813,14269500
2012-07-11,30.824722290039062,31.411954813701414,30.406692390116735,31.332330161259133,13030300
2012-07-12,30.66547203063965,31.25270453602339,30.45645803638513,30.55598932344026,11300700
2012-07-13,30.575895309448242,30.924253879151504,30.416646003024148,30.89439582069791,8108300
2012-07-16,28.117481231689453,30.356926639523127,28.077667957650853,30.356926639523127,24672100
2012-07-17,27.958232879638672,28.45588743157471,27.022641790446514,28.346402822660313,30438600
2012-07-18,28.97344970703125,29.152605656186616,28.017951944336485,28.177201255052022,16841800
2012-07-19,28.863962173461914,29.361616693694017,28.495696993193572,29.27203872818013,13685100
2012-07-20,28.625091552734375,29.33176014222129,28.5852782752639,28.86396552235255,11869100
2012-07-23,28.615137100219727,28.863964379352073,27.87860858179616,27.98809319210287,12390700
2012-07-24,28.316543579101562,29.31185264130687,27.96818502764943,28.684806869012753,11539800
2012-07-25,29.202367782592773,29.35166376094277,27.94827814733035,28.256823422373856,17230200
2012-07-26,26.724048614501953,28.09757428065987,26.604610692122346,27.619826387944194,64597400
2012-07-27,23.598777770996094,24.42488614370399,22.175487357404165,23.081218483508778,123102300
2012-07-30,23.041404724121094,23.92723109245881,22.9219686981349,23.88741781819581,29285900
2012-07-31,21.6081600189209,23.260374899676656,21.508630625941702,23.260374899676656,56179400
2012-08-01,20.782052993774414,21.478770117136413,20.742241617285938,21.39914546575802,44604400
2012-08-02,19.945995330810547,20.74224185366864,19.72702611322348,20.67257052021874,56374500
2012-08-03,20.991069793701172,22.056050263629622,19.80665139236323,20.26449458129785,80647000
2012-08-06,21.817176818847656,22.04609746956658,21.200084305603653,21.289662281693936,27778900
2012-08-07,20.622804641723633,22.344690892062186,20.40383731493908,22.095863607733662,36782900
2012-08-08,20.622804641723633,21.05078787451294,20.12515007306658,20.61285132254231,29537400
2012-08-09,20.91144371032715,21.070693009059656,20.51332046349588,20.652663125286477,15610700
2012-08-10,21.707693099975586,21.717646419774397,21.030882540869605,21.309569800031372,25794700
2012-08-13,21.498674392700195,22.344687407152062,21.299611836922853,22.046093573486047,24973100
2012-08-14,20.284399032592773,21.49867737410678,20.155009682274827,21.309568109733018,39308800
2012-08-15,21.10055160522461,21.309565584446318,20.30430326445313,20.543177197164194,47861100
2012-08-16,19.776792526245117,20.383929782462413,19.597636585642775,20.344118405884917,157565300
2012-08-17,18.960636138916016,19.98580511657801,18.91087144709996,19.91613378867501,129293400
2012-08-20,19.916133880615234,20.035569900885655,18.66204427736795,18.960636226445313,101186600
2012-08-21,19.07012176513672,19.88627490460477,19.000450433484776,19.488151653449798,70640600
2012-08-22,19.348812103271484,19.438390086494174,18.871062226616576,19.269187440229285,49892200
2012-08-23,19.348812103271484,19.637450794898815,19.269187440229285,19.408530125952705,32813700
2012-08-24,19.31894874572754,19.58768264814201,19.159699447645195,19.428433350059667,29622200
2012-08-27,19.06016731262207,19.438385802519218,19.01040262108885,19.398572530571606,20704000
2012-08-28,19.249279022216797,19.2890904008605,18.861109063033396,19.01040505514997,25417000
2012-08-29,19.01040267944336,19.289087990326927,18.98054272539099,19.229369980623492,16124700
2012-08-30,19.000450134277344,19.35876200387505,18.970590179010408,19.179606069076197,30647500
2012-08-31,17.975282669067383,18.61228181426596,17.945424609624734,18.592375175703168,58764200
2012-09-04,17.646827697753906,18.184295456297257,17.467671778239456,17.995186219209646,46622400
2012-09-05,18.492843627929688,18.662046256592184,18.094720354136022,18.184298328039787,60781800
2012-09-06,18.871057510375977,19.16965134596116,18.632183580948574,18.6520902163345,46066500
2012-09-07,18.89096450805664,19.328901002939666,18.691903845583465,19.010402424261564,36371700
2012-09-10,18.721763610839844,19.109935450159686,18.4629830174271,18.97059088545962,24797800
2012-09-11,19.338857650756836,19.488153647919127,18.76157840290148,18.831249741683774,50508200
2012-09-12,20.83182144165039,21.06074209743957,20.184870854314994,20.662618805110217,121584000
2012-09-13,20.612852096557617,21.37924061668383,20.513322697810082,20.86167939022964,65041600
2012-09-14,21.896799087524414,21.976423735542994,20.801958753467922,21.03087937922117,72819800
2012-09-17,21.419052124023438,22.643281852056752,21.39914548655913,22.563657200600964,50667600
2012-09-18,21.767412185668945,21.87689490246237,21.2697576051849,21.498678256591184,36760500
2012-09-19,23.180747985839844,23.260372631499695,21.667877819901378,21.886845120865644,78782800
2012-09-20,22.484031677246094,23.13098218253674,22.43426698391657,22.91201487412492,57248900
2012-09-21,22.752765655517578,23.130982261964242,22.49398507283244,22.86224836089875,51218100
2012-09-24,20.69247817993164,21.876894703883472,20.264494940855958,21.677834012537687,79106500
2012-09-25,20.18486976623535,21.11050565910344,20.12514985180399,21.100554238433045,46291700
